dim:,35
suite:,1
k:,5
a:,0.05
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,84,16,8232,84
0,bot2,95,5,9813,95
1,bot1,92,8,10053,92
1,bot2,95,5,17663,95
2,bot1,84,16,9988,84
2,bot2,91,9,15434,91
3,bot1,84,16,9187,84
3,bot2,92,8,10609,92
4,bot1,97,3,8998,97
4,bot2,97,3,11506,97
5,bot1,94,6,9943,94
5,bot2,95,5,11935,95
6,bot1,93,7,9531,93
6,bot2,94,6,12739,94
7,bot1,87,13,8517,87
7,bot2,90,10,12692,90
8,bot1,98,2,6967,98
8,bot2,94,6,10182,94
9,bot1,89,11,8527,89
9,bot2,88,12,10700,88
