dim:,35
suite:,1
k:,7
a:,1
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,46,54,9230,46
0,bot2,90,10,25772,90
1,bot1,40,60,28449,40
1,bot2,86,14,21747,86
2,bot1,29,71,26607,29
2,bot2,81,19,21286,81
3,bot1,20,80,16180,20
3,bot2,90,10,23852,90
4,bot1,22,78,16402,22
4,bot2,88,12,25660,88
5,bot1,33,67,18338,33
5,bot2,79,21,23987,79
6,bot1,40,60,39891,40
6,bot2,90,10,17196,90
7,bot1,43,57,14532,43
7,bot2,82,18,22976,82
8,bot1,29,71,15976,29
8,bot2,89,11,24437,89
9,bot1,32,68,27559,32
9,bot2,87,13,16965,87
