dim:,35
suite:,1
k:,3
a:,0.01
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,82,18,14275,82
0,bot2,84,16,14847,84
1,bot1,92,8,12730,92
1,bot2,87,13,14788,87
2,bot1,84,16,12496,84
2,bot2,83,17,12927,83
3,bot1,89,11,13707,89
3,bot2,79,21,12842,79
4,bot1,89,11,12605,89
4,bot2,83,17,15798,83
5,bot1,94,6,13081,94
5,bot2,89,11,11573,89
6,bot1,93,7,15305,93
6,bot2,90,10,13880,90
7,bot1,94,6,16331,94
7,bot2,85,15,13101,85
8,bot1,88,12,12992,88
8,bot2,85,15,12410,85
9,bot1,92,8,17128,92
9,bot2,82,18,21599,82
