dim:,35
suite:,1
k:,3
a:,1
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,57,43,37279,57
0,bot2,73,27,19162,73
1,bot1,51,49,26011,51
1,bot2,79,21,16977,79
2,bot1,48,52,60186,48
2,bot2,79,21,18901,79
3,bot1,26,74,19601,26
3,bot2,75,25,20045,75
4,bot1,59,41,27750,59
4,bot2,74,26,20116,74
5,bot1,31,69,22355,31
5,bot2,74,26,18684,74
6,bot1,36,64,16470,36
6,bot2,68,32,18516,68
7,bot1,16,84,6861,16
7,bot2,62,38,28241,62
8,bot1,29,71,33860,29
8,bot2,75,25,18522,75
9,bot1,22,78,35077,22
9,bot2,75,25,21068,75
