layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,70,30,42981,160
0,bot4,68,32,40177,158
0,bot5,69,31,38396,163
1,bot3,54,46,31932,133
1,bot4,54,46,29921,131
1,bot5,67,33,55415,155
2,bot3,65,35,39167,150
2,bot4,61,39,31571,148
2,bot5,70,30,38338,162
3,bot3,69,31,42340,158
3,bot4,69,31,35040,161
3,bot5,65,35,43502,153
4,bot3,58,42,37049,138
4,bot4,64,36,46367,146
4,bot5,63,37,35851,152
5,bot3,69,31,43501,157
5,bot4,75,25,45623,165
5,bot5,69,31,35764,163
6,bot3,67,33,42352,155
6,bot4,64,36,38340,150
6,bot5,74,26,53100,164
7,bot3,65,35,30272,156
7,bot4,67,33,32714,161
7,bot5,71,29,41927,161
8,bot3,60,40,36538,145
8,bot4,69,31,42712,159
8,bot5,80,20,43561,169
9,bot3,69,31,42742,162
9,bot4,73,27,45039,164
9,bot5,65,35,42849,153
