layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,30,70,14112,89
0,bot4,27,73,25674,91
0,bot5,71,29,43445,164
1,bot3,3,97,9282,43
1,bot4,7,93,16339,54
1,bot5,69,31,59371,162
2,bot3,1,99,1066,30
2,bot4,2,98,6188,37
2,bot5,70,30,45023,161
3,bot3,9,91,18956,61
3,bot4,9,91,20620,63
3,bot5,69,31,45374,162
4,bot3,3,97,4035,67
4,bot4,3,97,6553,71
4,bot5,80,20,58240,178
5,bot3,7,93,11963,50
5,bot4,4,96,11585,55
5,bot5,71,29,45023,166
6,bot3,14,86,27876,65
6,bot4,9,91,17380,62
6,bot5,67,33,44618,160
7,bot3,13,87,6834,73
7,bot4,10,90,7789,65
7,bot5,68,32,56331,164
8,bot3,1,99,937,45
8,bot4,5,95,14567,62
8,bot5,67,33,49062,154
9,bot3,4,96,3234,61
9,bot4,12,88,18372,76
9,bot5,60,40,40496,153
